,     Refresh     ,Unnamed: 1,Last Update : 2021-05-21 20:01:59,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,0,,,,,,,,,,,,,,,
1,Time Series (Company),,,,,,,,,,,,,,,
2,Frequency,Ascending,D,0,,,,,,,,,,,,
3,Period(From),Korean,20160520,0,,,,,,,,,,,,
4,Period(To),,CPD [20210521],0,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
6,Code,A069500,A232080,A143850,A195930,A238720,A192090,A148070,A136340,A182490,A132030,A130680,A114800,A138230,A139660,A130730
7,Name,KODEX 200,TIGER 코스닥150,TIGER 미국S&P500선물(H),TIGER 유로스탁스50(합성 H),KINDEX 일본Nikkei225(H),TIGER 차이나CSI300,KOSEF 국고채10년,KBSTAR 중기우량회사채,TIGER 단기선진하이일드(합성 H),KODEX 골드선물(H),TIGER 원유선물Enhanced(H),KODEX 인버스,KOSEF 미국달러선물,KOSEF 미국달러선물인버스,KOSEF 단기자금
8,Item Code,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100
9,Unit,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares
10,Base Date,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,D A T E,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가
13,2016-05-20 00:00:00,23850,10380,24010,9505,10395,7085,120810,104400,9900,9650,4400,8305,12210,10565,101120
14,2016-05-23 00:00:00,23915,10475,24015,9580,10300,7085,120720,104400,9900,9630,4335,8285,12130,10620,101135
15,2016-05-24 00:00:00,23745,10410,23950,9475,10265,7045,120935,104475,9915,9600,4330,8345,12230,10545,101155
16,2016-05-25 00:00:00,24080,10520,24400,9735,10445,7050,120955,104475,9940,9450,4430,8230,12150,10635,101140
17,2016-05-26 00:00:00,24035,10455,24440,9880,10455,7000,120930,104485,9960,9485,4480,8235,12125,10655,101110
18,2016-05-27 00:00:00,24160,10500,24530,9880,10475,7030,120980,104475,9970,9405,4425,8205,12115,10665,101125
19,2016-05-30 00:00:00,24105,10530,24625,9945,10555,7065,120755,104410,9970,9260,4425,8220,12230,10550,101140
20,2016-05-31 00:00:00,24300,10610,24630,10065,10740,7260,120785,104435,9965,9325,4470,8160,12235,10555,101140
21,2016-06-01 00:00:00,24315,10635,24550,9960,10530,7270,121225,104580,9990,9360,4410,8155,12230,10545,101150
22,2016-06-02 00:00:00,24360,10640,24565,9870,10300,7235,121195,104590,9975,9345,4425,8140,12190,10600,101170
23,2016-06-03 00:00:00,24400,10635,24685,9915,10325,7270,121200,104630,9925,9315,4440,8130,12150,10630,101175
24,2016-06-07 00:00:00,24725,10695,24750,9770,10415,7170,121770,104690,9960,9560,4480,8035,11940,10815,101185
25,2016-06-08 00:00:00,24975,10725,24735,9805,10460,7130,121850,103410,9990,9610,4565,7995,11870,10870,101195
26,2016-06-09 00:00:00,24965,10690,24770,9760,10405,7135,122150,103530,10085,9700,4650,8015,11865,10875,101255
27,2016-06-10 00:00:00,24865,10760,24760,9675,10290,7140,122400,103590,10020,9755,4580,8010,11960,10810,101255
28,2016-06-13 00:00:00,24350,10510,24495,9420,10010,7080,122615,103620,10020,9865,4450,8145,12050,10735,101275
29,2016-06-14 00:00:00,24270,10525,24375,9255,9885,7015,122485,103580,10050,9835,4430,8160,12045,10740,101285
30,2016-06-15 00:00:00,24260,10465,24290,9160,9920,7075,122530,103575,10005,9915,4355,8170,12070,10725,101280
31,2016-06-16 00:00:00,24075,10375,24225,9155,9630,6955,122885,103615,10020,10020,4315,8230,12020,10765,101310
32,2016-06-17 00:00:00,24115,10295,24395,9275,9720,7015,122880,103605,9915,9900,4290,8205,12040,10735,101315
33,2016-06-20 00:00:00,24450,10390,24525,9565,9945,7015,122620,103565,9940,9860,4420,8095,11925,10845,101310
34,2016-06-21 00:00:00,24450,10415,24495,9570,10045,7015,122540,103565,10055,9895,4465,8095,11875,10880,101300
35,2016-06-22 00:00:00,24590,10375,24490,9640,10025,7040,122560,103570,10060,9710,4510,8050,11870,10910,101300
36,2016-06-23 00:00:00,24605,10305,24580,9665,10110,6965,122635,103620,10065,9745,4470,8050,11825,10935,101300
37,2016-06-24 00:00:00,23815,9770,23530,8660,9290,6995,123620,103835,10095,10190,4310,8305,12135,10655,101325
38,2016-06-27 00:00:00,23880,9880,23725,8920,9500,7010,124090,103950,10025,10260,4325,8285,12145,10650,101355
39,2016-06-28 00:00:00,23940,10045,23640,8900,9545,7050,124220,103815,9975,10165,4285,8250,12035,10740,101350
40,2016-06-29 00:00:00,24225,10220,23930,9040,9700,7010,124285,103915,9910,10185,4395,8170,11940,10830,101345
41,2016-06-30 00:00:00,24400,10310,24255,9195,9740,7010,124410,103960,9970,10125,4480,8145,11840,10925,101360
42,2016-07-01 00:00:00,24600,10480,24570,9330,9775,7020,124945,103990,10070,10280,4425,8050,11775,10990,101375
43,2016-07-04 00:00:00,24685,10530,24710,9330,9810,7080,124905,104020,10020,10380,4480,8025,11785,10975,101380
44,2016-07-05 00:00:00,24655,10520,24615,9250,9710,7070,125035,104050,10105,10365,4405,8045,11890,10890,101390
45,2016-07-06 00:00:00,24160,10450,24415,9005,9530,7130,125110,104075,9955,10560,4315,8195,11995,10800,101390
46,2016-07-07 00:00:00,24435,10630,24635,9055,9515,7090,125240,104025,10105,10555,4340,8105,11880,10890,101410
47,2016-07-08 00:00:00,24310,10555,24545,9070,9425,7090,125335,104025,10140,10470,4235,8145,11935,10850,101405
48,2016-07-11 00:00:00,24670,10590,25040,9195,9800,7110,125275,104080,10080,10500,4230,8035,11805,10985,101405
49,2016-07-12 00:00:00,24670,10595,25035,9305,9970,7120,125165,104010,10200,10425,4215,8045,11815,10950,101415
50,2016-07-13 00:00:00,24835,10635,25165,9500,10140,7235,125150,104115,10240,10320,4270,8000,11790,10970,101420
51,2016-07-14 00:00:00,24880,10590,25230,9445,10150,7200,125565,104120,10135,10275,4230,7985,11715,11040,101430
52,2016-07-15 00:00:00,25005,10490,25300,9565,10240,7155,125330,104060,10170,10280,4220,7950,11670,11090,101430
53,2016-07-18 00:00:00,25050,10525,25350,9630,10290,7160,125105,104125,10145,10230,4245,7925,11690,11065,101430
54,2016-07-19 00:00:00,25015,10550,25340,9590,10350,7100,124945,104090,10165,10235,4185,7940,11690,11075,101435
55,2016-07-20 00:00:00,24970,10610,25350,9515,10300,7115,124885,104160,10260,10210,4185,7945,11735,11040,101435
56,2016-07-21 00:00:00,24995,10645,25485,9625,10380,7135,124790,104145,10255,10120,4225,7935,11695,11090,101440
57,2016-07-22 00:00:00,24980,10570,25355,9630,10300,7105,124880,104165,10295,10200,4170,7940,11680,11095,101445
58,2016-07-25 00:00:00,24995,10595,25460,9650,10320,7115,124960,104195,10205,10125,4120,7940,11705,11060,101455
